granularity,date,term,value,geo,provenance
daily,2026-05-15,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-16,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-17,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-18,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-19,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-20,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-21,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-22,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-23,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-24,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-25,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-26,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-27,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-28,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-29,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-30,social security electronic benefits update,0.0,US,live_fetch
daily,2026-05-31,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-01,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-02,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-03,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-04,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-05,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-06,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-07,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-08,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-09,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-10,social security electronic benefits update,9.0,US,live_fetch
daily,2026-06-11,social security electronic benefits update,100.0,US,live_fetch
daily,2026-06-12,social security electronic benefits update,33.0,US,live_fetch
daily,2026-06-13,social security electronic benefits update,4.0,US,live_fetch
daily,2026-06-14,social security electronic benefits update,2.0,US,live_fetch
daily,2026-06-15,social security electronic benefits update,1.0,US,live_fetch
daily,2026-06-16,social security electronic benefits update,1.0,US,live_fetch
daily,2026-06-17,social security electronic benefits update,1.0,US,live_fetch
daily,2026-06-18,social security electronic benefits update,1.0,US,live_fetch
daily,2026-06-19,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-20,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-21,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-22,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-23,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-24,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-25,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-26,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-27,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-28,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-29,social security electronic benefits update,0.0,US,live_fetch
daily,2026-06-30,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-01,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-02,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-03,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-04,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-05,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-06,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-07,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-08,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-09,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-10,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-11,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-12,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-13,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-14,social security electronic benefits update,0.0,US,live_fetch
daily,2026-07-15,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-07-20,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-07-27,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-08-03,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-08-10,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-08-17,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-08-24,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-08-31,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-09-07,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-09-14,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-09-21,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-09-28,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-10-05,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-10-12,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-10-19,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-10-26,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-11-02,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-11-09,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-11-16,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-11-23,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-11-30,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-12-07,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-12-14,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-12-21,social security electronic benefits update,0.0,US,live_fetch
weekly,2025-12-28,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-01-04,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-01-11,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-01-18,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-01-25,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-02-01,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-02-08,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-02-15,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-02-22,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-03-01,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-03-08,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-03-15,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-03-22,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-03-29,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-04-05,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-04-12,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-04-19,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-04-26,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-05-03,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-05-10,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-05-17,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-05-24,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-05-31,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-06-07,social security electronic benefits update,100.0,US,live_fetch
weekly,2026-06-14,social security electronic benefits update,4.0,US,live_fetch
weekly,2026-06-21,social security electronic benefits update,1.0,US,live_fetch
weekly,2026-06-28,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-07-05,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-07-12,social security electronic benefits update,0.0,US,live_fetch
weekly,2026-07-19,social security electronic benefits update,0.0,US,live_fetch
